,Fish_ID,Beas_population_code,Population_old_code,Harvested,Head.time.moving,Head.total.time,Head.raw.speed,Head.speed.moving,Head.time.stationary,Trial,Treatment,Normalized_Time.moving,FSR,FastestFSR,Status,FastestStatus,Aquarium,Acclimation,Sex,Weight_start,Weight_end,Length_start,Length_end,SGR,Weight_resp,SGR_length,MMR_mghg,SMR_mghg,MMR_scaled,SMR_scaled,AS,Harvest2,Length2,FastestFSR2
90,2fl,9,3,Small,138.7,865.6,3.576059739,7.53191758,726.9,1,Recovery,0.160235675,NA,5,0,1,2,Normoxia acclimated,F,0.29,0.54,23.5,27.5,1.07,0.51,0.27,NA,NA,NA,NA,NA,Positive,24,5
91,2fp,9,3,Small,138.6666667,865.6,2.823797243,7.16722364,726.9333333,1,Recovery,0.160197166,NA,NA,NA,NA,2,Normoxia acclimated,F,0.3,0.58,23.5,28.5,1.14,0.43,0.33,NA,NA,NA,NA,NA,Positive,24,NA
92,6mg,6,2,Small,138.3666667,865.6,3.717839785,7.1783895,727.2333333,3,Recovery,0.159850585,NA,38,0,1,6,Normoxia acclimated,M,0.1,0.11,16,17,0.16,0.06,0.1,NA,NA,NA,NA,NA,Positive,17,38
93,2mb,1,1,Small,137.7333333,865.6,3.364025337,7.250417229,727.8666667,2,Normoxia,0.159118916,NA,7,0,1,2,Normoxia acclimated,M,0.05,0.07,15.5,16,0.58,0.09,0.05,0.595,0.111,0.149,0.023,0.126,Positive,16,7
94,1fp,8,3,Random,137.3333333,865.6,3.697706774,6.797284125,728.2666667,2,Hypoxia,0.158656808,6,6,1,1,1,Hypoxia acclimated,F,0.19,0.2,20.5,21.5,0.09,0.19,0.08,0.881,0.175,0.245,0.046,0.199,Random,20,6
95,2ml,6,2,Small,137.3333333,865.6,4.406604594,9.598610079,728.2666667,1,Recovery,0.158656808,22,17,1,1,2,Normoxia acclimated,M,0.09,0.1,15.5,17.5,0.18,0.14,0.21,NA,NA,NA,NA,NA,Positive,16,17
96,12mb,1,1,Small,137.2,865.6,3.523724855,7.263344552,728.4,3,Normoxia,0.158502773,NA,NA,NA,NA,12,Hypoxia acclimated,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA
97,2fb,1,1,Small,137.0333333,865.6,3.759850118,6.834681455,728.5666667,2,Hypoxia,0.158310228,NA,6,0,1,2,Normoxia acclimated,F,0.17,0.72,19,30,2.49,0.44,0.79,0.642,0.167,0.201,0.055,0.146,Positive,19,6
98,3mg,5,2,Random,135.6666667,865.6,3.38358634,7.170287734,729.9333333,3,Hypoxia,0.156731362,35,35,1,1,3,Hypoxia acclimated,M,0.11,0.12,18,18,0.15,0.12,0,0.341,0.442,0.089,0.101,-0.012,Random,18,35
99,9fp,7,3,Large,134.8333333,865.6,3.594521221,6.731739048,730.7666667,1,Recovery,0.155768638,NA,6,0,1,9,Normoxia acclimated,F,0.19,0.82,20,29.5,2.52,0.57,0.67,NA,NA,NA,NA,NA,Negative,20,6
100,4mg,5,2,Random,134.4,865.6,3.685157408,6.686459855,731.2,1,Hypoxia,0.155268022,NA,41,0,1,4,Normoxia acclimated,M,0.1,0.12,16.5,17,0.31,0.11,0.05,0.682,0.06,0.176,0.013,0.163,Random,16,6
101,6mg,6,2,Small,132.5,865.6,3.740241553,7.238606061,733.1,2,Normoxia,0.153073013,6,5,1,1,6,Normoxia acclimated,M,0.1,0.11,16,17,0.16,0.06,0.1,1.164,0.358,0.275,0.067,0.208,Positive,16,5
102,9fl,7,3,Large,130.9333333,865.6,3.258509165,7.45348505,734.6666667,1,Recovery,0.151263093,NA,19,0,1,9,Normoxia acclimated,F,0.2,0.59,21,28,1.87,0.42,0.5,NA,NA,NA,NA,NA,Negative,21,6
103,4ml,5,2,Random,129.1333333,865.6,3.221130811,7.878637481,736.4666667,2,Normoxia,0.149183611,6,5,1,1,4,Normoxia acclimated,M,0.11,0.13,17,18,0.29,0.12,0.1,0.647,0.479,0.169,0.109,0.06,Random,17,5
104,12fb,1,1,Small,128.9333333,865.6,3.756051195,7.326973415,736.6666667,1,Normoxia,0.148952557,64,27,1,1,12,Hypoxia acclimated,F,0.17,0.62,19.5,27,2.23,0.44,0.56,0.558,0.221,0.174,0.073,0.101,Positive,20,6
105,2fg,6,2,Small,128,865.6,2.506868294,8.029509948,737.6,1,Normoxia,0.147874307,45,20,1,1,2,Normoxia acclimated,F,0.12,0.34,18.5,23,1.8,0.25,0.38,1.129,0.195,0.326,0.055,0.271,Positive,18,8
106,11mp,8,3,Random,127.9,865.6,3.655982309,6.596180097,737.7,3,Normoxia,0.14775878,66,6,1,1,11,Normoxia acclimated,M,0.11,0.12,17,17.5,0.15,0.12,0.05,1.531,0.495,0.399,0.113,0.286,Random,18,6
